Date,Open,High,Low,Close,Up votes,Down votes
2023-06-16,19915.44,20155.92,19876.42,20040.37,0.69,0.31000000000000005
2023-06-19,19983.4,20000.22,19718.43,19912.89,0.535764705882353,0.46423529411764697
2023-06-20,19863.86,19863.86,19504.63,19607.08,0.62,0.38
2023-06-21,19305.24,19377.69,19174.16,19218.35,0.45,0.55
2023-06-23,19135.02,19138.42,18800.34,18889.97,0.535764705882353,0.46423529411764697
2023-06-26,18845.9,19001.62,18767.15,18794.13,0.535764705882353,0.46423529411764697
2023-06-27,18851.66,19226.32,18842.42,19148.13,0.59,0.41000000000000003
2023-06-28,19099.39,19222.13,19019.26,19172.05,0.64,0.36
2023-06-29,19180.28,19180.28,18837.32,18934.36,0.48,0.52
2023-06-30,18881.43,19070.11,18838.62,18916.43,0.41,0.5900000000000001
2023-07-03,19002.55,19371.71,19002.55,19306.59,0.535764705882353,0.46423529411764697
2023-07-04,19289.06,19449.11,19253.22,19415.68,0.66,0.33999999999999997
2023-07-05,19355.06,19378.9,19095.6,19110.38,0.535764705882353,0.46423529411764697
2023-07-06,18840.41,18973.01,18483.08,18533.05,0.47,0.53
2023-07-07,18435.46,18537.75,18279.73,18365.7,0.35,0.65
2023-07-10,18747.5,18781.21,18417.63,18479.72,0.535764705882353,0.46423529411764697
2023-07-11,18671.42,18806.55,18573.67,18659.83,0.69,0.31000000000000005
2023-07-12,18797.01,18932.18,18739.6,18860.95,0.59,0.41000000000000003
2023-07-13,19181.31,19368.92,19163.21,19350.62,0.535764705882353,0.46423529411764697
2023-07-14,19534.82,19534.82,19364.6,19413.78,0.69,0.31000000000000005
2023-07-18,19324.34,19324.34,18979.92,19015.72,0.4,0.6
2023-07-19,18826.59,19004.42,18711.03,18952.31,0.535764705882353,0.46423529411764697
2023-07-20,19003.28,19215.74,18888.76,18928.02,0.49,0.51
2023-07-21,18918.7,19169.75,18886.43,19075.26,0.53,0.47
2023-07-24,18867.61,18946.56,18562.12,18668.15,0.535764705882353,0.46423529411764697
